,price,type,address,url,agent_url,postcode,number_bedrooms,search_date,loc
351,220000.0,3 bedroom flat for sale,"19 Claremont Court, Bellevue, Edinburgh, EH7 4LA",http://www.rightmove.co.uk/properties/87011764,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH7,3.0,2021-01-17 16:42:17.951429,"Claremont Court, Broughton, New Town/Broughton, City of Edinburgh, Scotland, EH7 4LA, United Kingdom"
352,220000.0,2 bedroom flat for sale,"Temple Park Crescent, Polwarth, Edinburgh, EH11",http://www.rightmove.co.uk/properties/86525665,http://www.rightmove.co.uk/estate-agents/agent/Lindsays/Edinburgh-29595.html,EH11,2.0,2021-01-17 16:42:17.951429,"Temple Park Crescent, Polwarth, Merchiston, City of Edinburgh, Scotland, EH11 1HR, United Kingdom"
353,220000.0,2 bedroom flat for sale,"11/5 Albion Gardens, Leith, Edinburgh, EH7 5NS",http://www.rightmove.co.uk/properties/84795952,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH7,2.0,2021-01-17 16:42:17.951429,"Albion Gardens, Lorne, Leith Central, City of Edinburgh, Scotland, EH7 5QF, United Kingdom"
354,220000.0,1 bedroom flat for sale,"16/3 Jamaica Mews, New Town, Edinburgh, EH3 6HW",http://www.rightmove.co.uk/properties/85416601,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH3,1.0,2021-01-17 16:42:17.951429,"Jamaica Mews, Silvermills, New Town/Broughton, City of Edinburgh, Scotland, EH3 6HW, United Kingdom"
355,220000.0,2 bedroom apartment for sale,"St John's Hill, Flat 6, Pleasance, Edinburgh , EH8 9UQ",http://www.rightmove.co.uk/properties/86337430,http://www.rightmove.co.uk/estate-agents/agent/Clyde-Property/Edinburgh-150686.html,EH8,2.0,2021-01-17 16:42:17.951429,
356,220000.0,2 bedroom flat for sale,"3/3 Dundee Terrace, EH11 1DL",http://www.rightmove.co.uk/properties/102041504,http://www.rightmove.co.uk/estate-agents/agent/Jardine-Phillips/Edinburgh-67068.html,EH11,2.0,2021-01-17 16:42:17.951429,"Dundee Terrace, Merchiston, City of Edinburgh, Scotland, EH11 1DH, United Kingdom"
357,215000.0,2 bedroom flat for sale,"McDonald Road, Edinburgh, Midlothian, EH7",http://www.rightmove.co.uk/properties/85861234,http://www.rightmove.co.uk/estate-agents/agent/Your-Move/Edinburgh-8459.html,EH7,2.0,2021-01-17 16:42:17.951429,
358,215000.0,2 bedroom flat for sale,"10, 2f2 Crighton Place, Edinburgh, EH7 4NZ",http://www.rightmove.co.uk/properties/73784793,http://www.rightmove.co.uk/estate-agents/agent/Campbell-Smith-LLP/Edinburgh-94463.html,EH7,2.0,2021-01-17 16:42:17.951429,"Leith Walk, Brunswick, Leith Central, City of Edinburgh, Scotland, EH7 4NZ, United Kingdom"
359,215000.0,1 bedroom ground floor flat for sale,"4 Atholl Crescent Lane, Edinburgh, EH3 8ET",http://www.rightmove.co.uk/properties/96425846,http://www.rightmove.co.uk/estate-agents/agent/Jardine-Phillips/Edinburgh-67068.html,EH3,1.0,2021-01-17 16:42:17.951429,"Atholl Crescent Lane, Haymarket, West End, City of Edinburgh, Scotland, EH3 8ER, United Kingdom"
360,215000.0,1 bedroom apartment for sale,"8/11 Jeffrey Street, Old Town, Edinburgh, EH1",http://www.rightmove.co.uk/properties/86582473,http://www.rightmove.co.uk/estate-agents/agent/Savills/Edinburgh-161225.html,EH1,1.0,2021-01-17 16:42:17.951429,
361,215000.0,1 bedroom apartment for sale,"8/6 Jeffrey Street, Old Town, Edinburgh, EH1",http://www.rightmove.co.uk/properties/86582479,http://www.rightmove.co.uk/estate-agents/agent/Savills/Edinburgh-161225.html,EH1,1.0,2021-01-17 16:42:17.951429,
362,215000.0,1 bedroom flat for sale,"McDonald Road, Edinburgh",http://www.rightmove.co.uk/properties/101107193,http://www.rightmove.co.uk/estate-agents/agent/Thorntons-Property-Services/Edinburgh-155639.html,,1.0,2021-01-17 16:42:17.951429,"McDonald Road, Powderhall, New Town/Broughton, City of Edinburgh, Scotland, EH7 4LG, United Kingdom"
363,215000.0,2 bedroom flat for sale,"3/16 Papermill Wynd (Off McDonald Road), Bellevue, Edinburgh, EH7 4QL",http://www.rightmove.co.uk/properties/77010654,http://www.rightmove.co.uk/estate-agents/agent/Drummond-Miller/Edinburgh-103265.html,EH7,2.0,2021-01-17 16:42:17.951429,
364,215000.0,2 bedroom flat for sale,"11/1 Arthur Street, Edinburgh, EH6",http://www.rightmove.co.uk/properties/85286935,http://www.rightmove.co.uk/estate-agents/agent/Aberdein-Considine/Edinburgh-102197.html,EH6,2.0,2021-01-17 16:42:17.951429,
365,215000.0,1 bedroom apartment for sale,"Edmonstone's Close, Edinburgh, Midlothian",http://www.rightmove.co.uk/properties/73242282,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Edinburgh-Sales-67544.html,,1.0,2021-01-17 16:42:17.951429,
366,215000.0,2 bedroom apartment for sale,"Lorne Street, Leith, Edinburgh",http://www.rightmove.co.uk/properties/99781892,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Edinburgh-Sales-67544.html,,2.0,2021-01-17 16:42:17.951429,"Lorne Street, Lorne, Leith Central, City of Edinburgh, Scotland, EH6 8QG, United Kingdom"
367,215000.0,1 bedroom flat for sale,"25/4 McDonald Road, Edinburgh EH7 4LX",http://www.rightmove.co.uk/properties/85220764,http://www.rightmove.co.uk/estate-agents/agent/Gillespie-MacAndrew/Edinburgh-109751.html,EH7,1.0,2021-01-17 16:42:17.951429,"McDonald Road, Broughton, New Town/Broughton, City of Edinburgh, Scotland, EH7 4NN, United Kingdom"
368,210000.0,2 bedroom flat for sale,"James Square, Caledonian Crescent, Haymarket, Edinburgh, EH11",http://www.rightmove.co.uk/properties/87391102,http://www.rightmove.co.uk/estate-agents/agent/Lindsays/Edinburgh-29595.html,EH11,2.0,2021-01-17 16:42:17.951429,
369,210000.0,2 bedroom flat for sale,"Dunedin Street, Edinburgh, EH7",http://www.rightmove.co.uk/properties/97118219,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Scotland-151100.html,EH7,2.0,2021-01-17 16:42:17.951429,"Dunedin Street, Beaverbank Business Park, New Town/Broughton, City of Edinburgh, Scotland, EH7 4JG, United Kingdom"
370,210000.0,1 bedroom flat for sale,"16/5 (1F1) Dean Park Street, Edinburgh, EH4 1JP",http://www.rightmove.co.uk/properties/88183639,http://www.rightmove.co.uk/estate-agents/agent/D-J-Alexander/Glasgow-Sales-103433.html,EH4,1.0,2021-01-17 16:42:17.951429,
371,210000.0,1 bedroom flat for sale,"3 Fleshmarket Close, Old Town, Edinburgh, EH1 1QA",http://www.rightmove.co.uk/properties/84278050,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH1,1.0,2021-01-17 16:42:17.951429,"Fleshmarket Close, Old Town, City of Edinburgh, Scotland, EH1 1QA, United Kingdom"
